03-10-21 21:54:54 - Dataset Loaded
03-10-21 21:54:54 - Configuration:
Namespace(TransferH=False, alpha=1.0, batch_size=64, beam_width=12, bidirectional=False, coco_path='./UMT_data/coco_new', config='Configs/mbart_wcons.yml', cpu=False, dataset='coco', decode_how='beam', device=device(type='cuda'), do_eval=True, do_train=True, dropout=0.1, embedding_dim=1024, eval_mode=False, fix_bhd=False, fix_spk=False, grad_clip=1.0, hard=True, has_vocab_constraint=True, hidden_dim=512, image_dim=2048, l2='jp', loss_type='xent', lr=5e-07, max_global_step=30000, model_name='mbart', n_gpu=1, no_share_bhd=False, no_terminal=False, no_write=False, norm_pow=0.0, num_distractors_train=3, num_distractors_valid=3, num_games=30000, num_layers=1, output_dir='mbart_wcons', pretrain_spk=False, print_every=50, re_load=False, sample_how='gumbel', save_every=4000, save_pretrain_seperately=True, seed=42, seq_len=15, source_lang='en_XX', source_lang_vocab_constrain_file='./UMT_data/cc/en_europarl_count_dict.json', stop_after=30, target_acc=85.0, target_lang='ja_XX', target_lang_vocab_constrain_file='./UMT_data/cc/ja_smaller_count_dict.json', temp=1.0, temperature=1.0, translate_every=2000, two_ffwd=False, unit_norm=False, valid_batch_size=128, valid_every=500, vocab_size=4035)
Sharing visual system for each agent.
03-10-21 21:55:21 - IN    : 612951040 params
03-10-21 21:55:21 - OUT   : 0 params
03-10-21 21:55:21 - TOTAL : 612951040 params
03-10-21 21:56:33 - epoch     0 train | loss 1.6765| prediction accuracy 26.03%| average message length 15.0000 |
03-10-21 22:14:21 - epoch     0 train | loss 1.3675| prediction accuracy 25.59%| average message length 15.0000 |
03-10-21 22:15:31 - epoch     1 train | loss 1.3510| prediction accuracy 26.72%| average message length 15.0000 |
03-10-21 22:16:42 - epoch     1 train | loss 1.3540| prediction accuracy 26.34%| average message length 15.0000 |
03-10-21 22:17:52 - epoch     1 train | loss 1.3506| prediction accuracy 27.53%| average message length 15.0000 |
03-10-21 22:19:02 - epoch     1 train | loss 1.3392| prediction accuracy 26.72%| average message length 15.0000 |
03-10-21 22:20:13 - epoch     1 train | loss 1.3396| prediction accuracy 27.03%| average message length 15.0000 |
03-10-21 22:21:37 - epoch  1000 valid | loss 1.3106| prediction accuracy 29.79%| average message length 15.0000 |
03-10-21 22:22:47 - epoch     1 train | loss 1.3223| prediction accuracy 30.25%| average message length 15.0000 |
03-10-21 22:23:58 - epoch     1 train | loss 1.3199| prediction accuracy 29.94%| average message length 15.0000 |
03-10-21 22:25:08 - epoch     1 train | loss 1.3161| prediction accuracy 31.09%| average message length 15.0000 |
03-10-21 22:26:19 - epoch     1 train | loss 1.3130| prediction accuracy 28.84%| average message length 15.0000 |
03-10-21 22:27:29 - epoch     1 train | loss 1.2985| prediction accuracy 32.41%| average message length 15.0000 |
03-10-21 22:28:40 - epoch     1 train | loss 1.2916| prediction accuracy 31.38%| average message length 15.0000 |
03-10-21 22:29:50 - epoch     1 train | loss 1.3111| prediction accuracy 30.28%| average message length 15.0000 |
03-10-21 22:31:00 - epoch     1 train | loss 1.3012| prediction accuracy 32.44%| average message length 15.0000 |
03-10-21 22:32:11 - epoch     1 train | loss 1.2774| prediction accuracy 34.72%| average message length 15.0000 |
03-10-21 22:33:21 - epoch     1 train | loss 1.2724| prediction accuracy 34.59%| average message length 15.0000 |
03-10-21 22:34:45 - epoch  1500 valid | loss 1.2700| prediction accuracy 37.21%| average message length 15.0000 |
03-10-21 22:35:56 - epoch     1 train | loss 1.2746| prediction accuracy 35.28%| average message length 15.0000 |
03-10-21 22:37:07 - epoch     2 train | loss 1.2794| prediction accuracy 36.31%| average message length 15.0000 |
03-10-21 22:38:18 - epoch     2 train | loss 1.2715| prediction accuracy 37.38%| average message length 15.0000 |
03-10-21 22:39:28 - epoch     2 train | loss 1.2634| prediction accuracy 38.84%| average message length 15.0000 |
03-10-21 22:40:40 - epoch     2 train | loss 1.2440| prediction accuracy 39.84%| average message length 15.0000 |
03-10-21 22:41:54 - epoch     2 train | loss 1.2400| prediction accuracy 41.31%| average message length 15.0000 |
03-10-21 22:43:09 - epoch     2 train | loss 1.2169| prediction accuracy 43.22%| average message length 15.0000 |
03-10-21 22:44:21 - epoch     2 train | loss 1.2001| prediction accuracy 43.91%| average message length 15.0000 |
03-10-21 22:45:32 - epoch     2 train | loss 1.1617| prediction accuracy 48.62%| average message length 15.0000 |
03-10-21 22:46:42 - epoch     2 train | loss 1.1378| prediction accuracy 50.03%| average message length 15.0000 |
03-10-21 22:48:05 - epoch  2000 valid | loss 1.0869| prediction accuracy 52.99%| average message length 15.0000 |
03-10-21 22:49:15 - epoch     2 train | loss 1.1200| prediction accuracy 50.69%| average message length 15.0000 |
03-10-21 22:50:26 - epoch     2 train | loss 1.0592| prediction accuracy 54.06%| average message length 15.0000 |
03-10-21 22:51:36 - epoch     2 train | loss 1.0457| prediction accuracy 56.00%| average message length 15.0000 |
03-10-21 22:52:46 - epoch     2 train | loss 1.0268| prediction accuracy 55.75%| average message length 15.0000 |
03-10-21 22:53:56 - epoch     2 train | loss 0.9801| prediction accuracy 58.09%| average message length 15.0000 |
03-10-21 22:55:06 - epoch     2 train | loss 0.9685| prediction accuracy 58.69%| average message length 15.0000 |
03-10-21 22:56:17 - epoch     3 train | loss 0.9385| prediction accuracy 60.38%| average message length 15.0000 |
03-10-21 22:57:27 - epoch     3 train | loss 0.9280| prediction accuracy 61.38%| average message length 15.0000 |
03-10-21 22:58:37 - epoch     3 train | loss 0.8791| prediction accuracy 63.38%| average message length 15.0000 |
03-10-21 22:59:47 - epoch     3 train | loss 0.8832| prediction accuracy 63.03%| average message length 15.0000 |
03-10-21 23:01:10 - epoch  2500 valid | loss 0.8296| prediction accuracy 66.27%| average message length 15.0000 |
03-10-21 23:02:20 - epoch     3 train | loss 0.8579| prediction accuracy 64.44%| average message length 15.0000 |
03-10-21 23:03:30 - epoch     3 train | loss 0.8511| prediction accuracy 63.91%| average message length 15.0000 |
03-10-21 23:04:40 - epoch     3 train | loss 0.8404| prediction accuracy 64.47%| average message length 15.0000 |
03-10-21 23:05:50 - epoch     3 train | loss 0.8255| prediction accuracy 65.91%| average message length 15.0000 |
03-10-21 23:07:00 - epoch     3 train | loss 0.8044| prediction accuracy 65.59%| average message length 15.0000 |
03-10-21 23:08:10 - epoch     3 train | loss 0.7864| prediction accuracy 67.88%| average message length 15.0000 |
03-10-21 23:09:20 - epoch     3 train | loss 0.7996| prediction accuracy 67.81%| average message length 15.0000 |
03-10-21 23:10:30 - epoch     3 train | loss 0.7814| prediction accuracy 68.22%| average message length 15.0000 |
03-10-21 23:11:40 - epoch     3 train | loss 0.7677| prediction accuracy 67.75%| average message length 15.0000 |
03-10-21 23:12:51 - epoch     3 train | loss 0.7625| prediction accuracy 67.84%| average message length 15.0000 |
03-10-21 23:14:14 - epoch  3000 valid | loss 0.7076| prediction accuracy 71.92%| average message length 15.0000 |
03-10-21 23:15:24 - epoch     3 train | loss 0.7460| prediction accuracy 69.44%| average message length 15.0000 |
03-10-21 23:16:34 - epoch     3 train | loss 0.7306| prediction accuracy 70.28%| average message length 15.0000 |
03-10-21 23:17:44 - epoch     4 train | loss 0.7435| prediction accuracy 69.88%| average message length 15.0000 |
03-10-21 23:18:55 - epoch     4 train | loss 0.7240| prediction accuracy 70.50%| average message length 15.0000 |
03-10-21 23:20:05 - epoch     4 train | loss 0.7322| prediction accuracy 70.62%| average message length 15.0000 |
03-10-21 23:21:16 - epoch     4 train | loss 0.7005| prediction accuracy 71.59%| average message length 15.0000 |
03-10-21 23:22:26 - epoch     4 train | loss 0.7057| prediction accuracy 72.03%| average message length 15.0000 |
03-10-21 23:23:36 - epoch     4 train | loss 0.6801| prediction accuracy 72.31%| average message length 15.0000 |
03-10-21 23:24:47 - epoch     4 train | loss 0.6659| prediction accuracy 73.25%| average message length 15.0000 |
03-10-21 23:25:57 - epoch     4 train | loss 0.6440| prediction accuracy 75.09%| average message length 15.0000 |
03-10-21 23:27:20 - epoch  3500 valid | loss 0.6158| prediction accuracy 75.95%| average message length 15.0000 |
03-10-21 23:28:30 - epoch     4 train | loss 0.6571| prediction accuracy 75.12%| average message length 15.0000 |
03-10-21 23:29:41 - epoch     4 train | loss 0.6456| prediction accuracy 74.91%| average message length 15.0000 |
03-10-21 23:30:51 - epoch     4 train | loss 0.6581| prediction accuracy 73.28%| average message length 15.0000 |
03-10-21 23:32:01 - epoch     4 train | loss 0.6624| prediction accuracy 74.25%| average message length 15.0000 |
03-10-21 23:33:11 - epoch     4 train | loss 0.6204| prediction accuracy 75.34%| average message length 15.0000 |
03-10-21 23:34:22 - epoch     4 train | loss 0.6201| prediction accuracy 75.94%| average message length 15.0000 |
03-10-21 23:35:32 - epoch     4 train | loss 0.6110| prediction accuracy 75.66%| average message length 15.0000 |
03-10-21 23:36:42 - epoch     4 train | loss 0.6040| prediction accuracy 75.75%| average message length 15.0000 |
03-10-21 23:37:53 - epoch     5 train | loss 0.5659| prediction accuracy 78.31%| average message length 15.0000 |
03-10-21 23:39:03 - epoch     5 train | loss 0.5785| prediction accuracy 77.59%| average message length 15.0000 |
03-10-21 23:40:26 - epoch  4000 valid | loss 0.5448| prediction accuracy 79.66%| average message length 15.0000 |
03-10-21 23:41:36 - epoch     5 train | loss 0.5682| prediction accuracy 79.06%| average message length 15.0000 |
03-10-21 23:42:46 - epoch     5 train | loss 0.5895| prediction accuracy 75.34%| average message length 15.0000 |
03-10-21 23:43:56 - epoch     5 train | loss 0.5805| prediction accuracy 77.50%| average message length 15.0000 |
03-10-21 23:45:06 - epoch     5 train | loss 0.5778| prediction accuracy 77.81%| average message length 15.0000 |
03-10-21 23:46:16 - epoch     5 train | loss 0.5671| prediction accuracy 78.53%| average message length 15.0000 |
03-10-21 23:47:26 - epoch     5 train | loss 0.5453| prediction accuracy 78.91%| average message length 15.0000 |
03-10-21 23:48:36 - epoch     5 train | loss 0.5513| prediction accuracy 78.31%| average message length 15.0000 |
03-10-21 23:49:47 - epoch     5 train | loss 0.5476| prediction accuracy 78.69%| average message length 15.0000 |
03-10-21 23:50:57 - epoch     5 train | loss 0.5697| prediction accuracy 77.44%| average message length 15.0000 |
03-10-21 23:52:07 - epoch     5 train | loss 0.5274| prediction accuracy 79.97%| average message length 15.0000 |
03-10-21 23:53:30 - epoch  4500 valid | loss 0.4967| prediction accuracy 81.07%| average message length 15.0000 |
03-10-21 23:54:40 - epoch     5 train | loss 0.5175| prediction accuracy 80.59%| average message length 15.0000 |
03-10-21 23:55:50 - epoch     5 train | loss 0.5265| prediction accuracy 80.06%| average message length 15.0000 |
03-10-21 23:57:00 - epoch     5 train | loss 0.5067| prediction accuracy 80.88%| average message length 15.0000 |
03-10-21 23:58:10 - epoch     6 train | loss 0.5078| prediction accuracy 81.12%| average message length 15.0000 |
03-10-21 23:59:20 - epoch     6 train | loss 0.5148| prediction accuracy 80.25%| average message length 15.0000 |
03-11-21 00:00:30 - epoch     6 train | loss 0.5048| prediction accuracy 80.19%| average message length 15.0000 |
03-11-21 00:01:40 - epoch     6 train | loss 0.5050| prediction accuracy 80.62%| average message length 15.0000 |
03-11-21 00:02:50 - epoch     6 train | loss 0.4902| prediction accuracy 81.41%| average message length 15.0000 |
03-11-21 00:04:00 - epoch     6 train | loss 0.4803| prediction accuracy 81.12%| average message length 15.0000 |
03-11-21 00:05:10 - epoch     6 train | loss 0.4835| prediction accuracy 81.34%| average message length 15.0000 |
03-11-21 00:06:33 - epoch  5000 valid | loss 0.4466| prediction accuracy 83.63%| average message length 15.0000 |
03-11-21 00:07:43 - epoch     6 train | loss 0.4978| prediction accuracy 81.12%| average message length 15.0000 |
03-11-21 00:08:53 - epoch     6 train | loss 0.4544| prediction accuracy 83.09%| average message length 15.0000 |
03-11-21 00:10:03 - epoch     6 train | loss 0.4734| prediction accuracy 81.84%| average message length 15.0000 |
03-11-21 00:11:13 - epoch     6 train | loss 0.4650| prediction accuracy 82.69%| average message length 15.0000 |
03-11-21 00:12:23 - epoch     6 train | loss 0.4654| prediction accuracy 82.62%| average message length 15.0000 |
03-11-21 00:13:33 - epoch     6 train | loss 0.4503| prediction accuracy 83.22%| average message length 15.0000 |
03-11-21 00:14:43 - epoch     6 train | loss 0.4408| prediction accuracy 83.53%| average message length 15.0000 |
03-11-21 00:15:53 - epoch     6 train | loss 0.4431| prediction accuracy 83.41%| average message length 15.0000 |
03-11-21 00:17:03 - epoch     6 train | loss 0.4574| prediction accuracy 82.53%| average message length 15.0000 |
03-11-21 00:18:13 - epoch     7 train | loss 0.4436| prediction accuracy 83.25%| average message length 15.0000 |
03-11-21 00:19:36 - epoch  5500 valid | loss 0.4100| prediction accuracy 85.20%| average message length 15.0000 |
03-11-21 00:19:36 - Saving model to mbart_wcons
Epoch : 7 Prediction Accuracy = 85.20103503184713 Saved to Path : mbart_wcons
03-11-21 00:21:49 - epoch     7 train | loss 0.4357| prediction accuracy 83.66%| average message length 15.0000 |
03-11-21 00:22:59 - epoch     7 train | loss 0.4446| prediction accuracy 83.12%| average message length 15.0000 |
03-11-21 00:24:09 - epoch     7 train | loss 0.4402| prediction accuracy 83.47%| average message length 15.0000 |
03-11-21 00:25:19 - epoch     7 train | loss 0.4355| prediction accuracy 84.03%| average message length 15.0000 |
03-11-21 00:26:29 - epoch     7 train | loss 0.4148| prediction accuracy 84.44%| average message length 15.0000 |
03-11-21 00:27:39 - epoch     7 train | loss 0.4291| prediction accuracy 83.56%| average message length 15.0000 |
03-11-21 00:28:50 - epoch     7 train | loss 0.4408| prediction accuracy 83.47%| average message length 15.0000 |
03-11-21 00:30:00 - epoch     7 train | loss 0.4111| prediction accuracy 84.78%| average message length 15.0000 |
03-11-21 00:31:10 - epoch     7 train | loss 0.4033| prediction accuracy 85.31%| average message length 15.0000 |
03-11-21 00:32:20 - epoch     7 train | loss 0.4019| prediction accuracy 84.94%| average message length 15.0000 |
03-11-21 00:33:43 - epoch  6000 valid | loss 0.3808| prediction accuracy 86.57%| average message length 15.0000 |
03-11-21 00:33:43 - Saving model to mbart_wcons
Epoch : 7 Prediction Accuracy = 86.57444267515923 Saved to Path : mbart_wcons
03-11-21 00:35:58 - epoch     7 train | loss 0.4056| prediction accuracy 84.66%| average message length 15.0000 |
03-11-21 00:37:13 - epoch     7 train | loss 0.4269| prediction accuracy 83.84%| average message length 15.0000 |
03-11-21 00:38:28 - epoch     7 train | loss 0.4047| prediction accuracy 85.31%| average message length 15.0000 |
03-11-21 00:39:42 - epoch     7 train | loss 0.3904| prediction accuracy 85.31%| average message length 15.0000 |
03-11-21 00:40:57 - epoch     8 train | loss 0.4176| prediction accuracy 84.41%| average message length 15.0000 |
03-11-21 00:42:12 - epoch     8 train | loss 0.3925| prediction accuracy 85.06%| average message length 15.0000 |
03-11-21 00:43:27 - epoch     8 train | loss 0.3904| prediction accuracy 85.25%| average message length 15.0000 |
03-11-21 00:44:42 - epoch     8 train | loss 0.4155| prediction accuracy 84.03%| average message length 15.0000 |
03-11-21 00:45:56 - epoch     8 train | loss 0.3913| prediction accuracy 85.81%| average message length 15.0000 |
03-11-21 00:47:11 - epoch     8 train | loss 0.3966| prediction accuracy 85.06%| average message length 15.0000 |
03-11-21 00:48:42 - epoch  6500 valid | loss 0.3616| prediction accuracy 87.05%| average message length 15.0000 |
03-11-21 00:48:42 - Saving model to mbart_wcons
Epoch : 8 Prediction Accuracy = 87.05214968152866 Saved to Path : mbart_wcons
03-11-21 00:50:59 - epoch     8 train | loss 0.3921| prediction accuracy 84.81%| average message length 15.0000 |
03-11-21 00:52:09 - epoch     8 train | loss 0.3869| prediction accuracy 85.72%| average message length 15.0000 |
03-11-21 00:53:19 - epoch     8 train | loss 0.3780| prediction accuracy 86.91%| average message length 15.0000 |
03-11-21 00:54:29 - epoch     8 train | loss 0.3694| prediction accuracy 85.84%| average message length 15.0000 |
03-11-21 00:55:39 - epoch     8 train | loss 0.3769| prediction accuracy 85.78%| average message length 15.0000 |
03-11-21 00:56:50 - epoch     8 train | loss 0.3728| prediction accuracy 86.53%| average message length 15.0000 |
03-11-21 00:58:00 - epoch     8 train | loss 0.3688| prediction accuracy 86.41%| average message length 15.0000 |
03-11-21 00:59:10 - epoch     8 train | loss 0.3794| prediction accuracy 85.94%| average message length 15.0000 |
03-11-21 01:00:20 - epoch     8 train | loss 0.3827| prediction accuracy 85.50%| average message length 15.0000 |
03-11-21 01:01:30 - epoch     8 train | loss 0.3728| prediction accuracy 85.66%| average message length 15.0000 |
03-11-21 01:02:53 - epoch  7000 valid | loss 0.3333| prediction accuracy 88.29%| average message length 15.0000 |
03-11-21 01:02:53 - Saving model to mbart_wcons
Epoch : 8 Prediction Accuracy = 88.28622611464968 Saved to Path : mbart_wcons
03-11-21 01:05:18 - epoch     9 train | loss 0.3352| prediction accuracy 88.06%| average message length 15.0000 |
03-11-21 01:06:33 - epoch     9 train | loss 0.3661| prediction accuracy 86.25%| average message length 15.0000 |
03-11-21 01:07:47 - epoch     9 train | loss 0.3819| prediction accuracy 85.12%| average message length 15.0000 |
03-11-21 01:09:02 - epoch     9 train | loss 0.3523| prediction accuracy 86.53%| average message length 15.0000 |
03-11-21 01:10:17 - epoch     9 train | loss 0.3604| prediction accuracy 86.16%| average message length 15.0000 |
03-11-21 01:11:32 - epoch     9 train | loss 0.3565| prediction accuracy 86.59%| average message length 15.0000 |
03-11-21 01:12:47 - epoch     9 train | loss 0.3559| prediction accuracy 86.69%| average message length 15.0000 |
03-11-21 01:14:02 - epoch     9 train | loss 0.3351| prediction accuracy 87.50%| average message length 15.0000 |
03-11-21 01:15:16 - epoch     9 train | loss 0.3292| prediction accuracy 87.81%| average message length 15.0000 |
03-11-21 01:16:31 - epoch     9 train | loss 0.3406| prediction accuracy 86.56%| average message length 15.0000 |
03-11-21 01:18:02 - epoch  7500 valid | loss 0.3207| prediction accuracy 88.98%| average message length 15.0000 |
03-11-21 01:18:02 - Saving model to mbart_wcons
Epoch : 9 Prediction Accuracy = 88.98288216560509 Saved to Path : mbart_wcons
03-11-21 01:20:20 - epoch     9 train | loss 0.3686| prediction accuracy 85.81%| average message length 15.0000 |
03-11-21 01:21:30 - epoch     9 train | loss 0.3382| prediction accuracy 87.09%| average message length 15.0000 |
03-11-21 01:22:40 - epoch     9 train | loss 0.3344| prediction accuracy 87.72%| average message length 15.0000 |
03-11-21 01:23:50 - epoch     9 train | loss 0.3466| prediction accuracy 87.59%| average message length 15.0000 |
03-11-21 01:25:00 - epoch     9 train | loss 0.3304| prediction accuracy 87.91%| average message length 15.0000 |
03-11-21 01:26:10 - epoch     9 train | loss 0.3269| prediction accuracy 87.91%| average message length 15.0000 |
03-11-21 01:27:20 - epoch    10 train | loss 0.3570| prediction accuracy 86.59%| average message length 15.0000 |
03-11-21 01:28:31 - epoch    10 train | loss 0.3153| prediction accuracy 88.31%| average message length 15.0000 |
03-11-21 01:29:41 - epoch    10 train | loss 0.3233| prediction accuracy 88.03%| average message length 15.0000 |
03-11-21 01:30:51 - epoch    10 train | loss 0.3421| prediction accuracy 86.50%| average message length 15.0000 |
03-11-21 01:32:14 - epoch  8000 valid | loss 0.3028| prediction accuracy 89.21%| average message length 15.0000 |
03-11-21 01:32:14 - Saving model to mbart_wcons
Epoch : 10 Prediction Accuracy = 89.21178343949045 Saved to Path : mbart_wcons
03-11-21 01:34:38 - epoch    10 train | loss 0.3254| prediction accuracy 88.19%| average message length 15.0000 |
03-11-21 01:35:53 - epoch    10 train | loss 0.3387| prediction accuracy 87.38%| average message length 15.0000 |
03-11-21 01:37:08 - epoch    10 train | loss 0.3049| prediction accuracy 88.97%| average message length 15.0000 |
03-11-21 01:38:23 - epoch    10 train | loss 0.3103| prediction accuracy 88.84%| average message length 15.0000 |
03-11-21 01:39:37 - epoch    10 train | loss 0.3192| prediction accuracy 88.03%| average message length 15.0000 |
03-11-21 01:40:52 - epoch    10 train | loss 0.3224| prediction accuracy 88.03%| average message length 15.0000 |
03-11-21 01:42:07 - epoch    10 train | loss 0.2994| prediction accuracy 89.00%| average message length 15.0000 |
03-11-21 01:43:22 - epoch    10 train | loss 0.3003| prediction accuracy 89.28%| average message length 15.0000 |
03-11-21 01:44:36 - epoch    10 train | loss 0.3053| prediction accuracy 88.69%| average message length 15.0000 |
03-11-21 01:45:51 - epoch    10 train | loss 0.3176| prediction accuracy 88.38%| average message length 15.0000 |
03-11-21 01:47:22 - epoch  8500 valid | loss 0.2847| prediction accuracy 89.85%| average message length 15.0000 |
03-11-21 01:47:22 - Saving model to mbart_wcons
Epoch : 10 Prediction Accuracy = 89.84872611464968 Saved to Path : mbart_wcons
03-11-21 01:49:38 - epoch    10 train | loss 0.3047| prediction accuracy 88.62%| average message length 15.0000 |
03-11-21 01:50:48 - epoch    11 train | loss 0.2940| prediction accuracy 89.25%| average message length 15.0000 |
03-11-21 01:51:58 - epoch    11 train | loss 0.3088| prediction accuracy 88.72%| average message length 15.0000 |
03-11-21 01:53:08 - epoch    11 train | loss 0.2934| prediction accuracy 89.50%| average message length 15.0000 |
03-11-21 01:54:18 - epoch    11 train | loss 0.3105| prediction accuracy 88.78%| average message length 15.0000 |
03-11-21 01:55:28 - epoch    11 train | loss 0.2861| prediction accuracy 89.91%| average message length 15.0000 |
03-11-21 01:56:38 - epoch    11 train | loss 0.3068| prediction accuracy 88.59%| average message length 15.0000 |
03-11-21 01:57:48 - epoch    11 train | loss 0.3026| prediction accuracy 88.56%| average message length 15.0000 |
03-11-21 01:58:58 - epoch    11 train | loss 0.2858| prediction accuracy 89.50%| average message length 15.0000 |
03-11-21 02:00:08 - epoch    11 train | loss 0.3221| prediction accuracy 87.66%| average message length 15.0000 |
03-11-21 02:01:31 - epoch  9000 valid | loss 0.2647| prediction accuracy 90.73%| average message length 15.0000 |
03-11-21 02:01:31 - Saving model to mbart_wcons
Epoch : 11 Prediction Accuracy = 90.734474522293 Saved to Path : mbart_wcons
03-11-21 02:03:53 - epoch    11 train | loss 0.2780| prediction accuracy 88.94%| average message length 15.0000 |
03-11-21 02:05:03 - epoch    11 train | loss 0.2931| prediction accuracy 89.56%| average message length 15.0000 |
03-11-21 02:06:13 - epoch    11 train | loss 0.2879| prediction accuracy 89.03%| average message length 15.0000 |
03-11-21 02:07:23 - epoch    11 train | loss 0.2800| prediction accuracy 89.66%| average message length 15.0000 |
03-11-21 02:08:33 - epoch    11 train | loss 0.2910| prediction accuracy 89.38%| average message length 15.0000 |
03-11-21 02:09:43 - epoch    11 train | loss 0.2654| prediction accuracy 90.53%| average message length 15.0000 |
03-11-21 02:10:53 - epoch    11 train | loss 0.2740| prediction accuracy 89.81%| average message length 15.0000 |
03-11-21 02:12:03 - epoch    12 train | loss 0.2914| prediction accuracy 89.25%| average message length 15.0000 |
03-11-21 02:13:13 - epoch    12 train | loss 0.2729| prediction accuracy 89.84%| average message length 15.0000 |
03-11-21 02:14:23 - epoch    12 train | loss 0.2670| prediction accuracy 90.12%| average message length 15.0000 |
03-11-21 02:15:46 - epoch  9500 valid | loss 0.2629| prediction accuracy 90.68%| average message length 15.0000 |
03-11-21 02:16:56 - epoch    12 train | loss 0.2851| prediction accuracy 89.19%| average message length 15.0000 |
03-11-21 02:18:06 - epoch    12 train | loss 0.2952| prediction accuracy 88.97%| average message length 15.0000 |
03-11-21 02:19:16 - epoch    12 train | loss 0.2800| prediction accuracy 89.62%| average message length 15.0000 |
03-11-21 02:20:26 - epoch    12 train | loss 0.2848| prediction accuracy 89.91%| average message length 15.0000 |
03-11-21 02:21:36 - epoch    12 train | loss 0.2781| prediction accuracy 89.69%| average message length 15.0000 |
03-11-21 02:22:46 - epoch    12 train | loss 0.2676| prediction accuracy 90.38%| average message length 15.0000 |
03-11-21 02:23:56 - epoch    12 train | loss 0.2695| prediction accuracy 90.00%| average message length 15.0000 |
03-11-21 02:25:06 - epoch    12 train | loss 0.2813| prediction accuracy 89.88%| average message length 15.0000 |
03-11-21 02:26:16 - epoch    12 train | loss 0.2799| prediction accuracy 88.75%| average message length 15.0000 |
03-11-21 02:27:26 - epoch    12 train | loss 0.2619| prediction accuracy 90.72%| average message length 15.0000 |
03-11-21 02:28:49 - epoch 10000 valid | loss 0.2401| prediction accuracy 91.48%| average message length 15.0000 |
03-11-21 02:28:49 - Saving model to mbart_wcons
Epoch : 12 Prediction Accuracy = 91.48089171974522 Saved to Path : mbart_wcons
03-11-21 02:30:59 - epoch    12 train | loss 0.2550| prediction accuracy 90.34%| average message length 15.0000 |
03-11-21 02:32:09 - epoch    12 train | loss 0.2815| prediction accuracy 89.69%| average message length 15.0000 |
03-11-21 02:33:19 - epoch    12 train | loss 0.2746| prediction accuracy 89.69%| average message length 15.0000 |
03-11-21 02:34:29 - epoch    13 train | loss 0.2748| prediction accuracy 89.84%| average message length 15.0000 |
